image_id,file_name,file_path,produce_type,freshness_label,shelf_life_days,width,height,channels,format,file_size_kb,md5_hash,is_duplicate,duplicate_of
IMG_20251125_185750037_HDR,IMG_20251125_185750037_HDR.jpg,/content/dataset_raw/Processed Data/Semi fresh Orange(9-20)/IMG_20251125_185750037_HDR.jpg,Orange,Semi-Fresh,9-20,512,512,3,JPEG,17.24,c4fe989e67b935ccc939eeea061260ee,False,
aug_223_IMG_20251121_144250166_HDR_AE,aug_223_IMG_20251121_144250166_HDR_AE.jpg,/content/dataset_raw/Processed Data/Fresh Banana(1-4)/aug_223_IMG_20251121_144250166_HDR_AE.jpg,Banana,Fresh,1-4,512,512,3,JPEG,31.04,ce359d3cbde5d8ddc17565995a6bf3bf,False,
aug_98_IMG_20251127_190554960_HDR,aug_98_IMG_20251127_190554960_HDR.jpg,/content/dataset_raw/Processed Data/Rotten banana(7-13)/aug_98_IMG_20251127_190554960_HDR.jpg,Banana,Rotten,7-13,512,512,3,JPEG,19.69,c9d4091b215ff52c95f1588e0073998e,False,
aug_43_IMG-20260128-WA0025,aug_43_IMG-20260128-WA0025.jpg,/content/dataset_raw/Processed Data/Rotten Orange(20-35)/aug_43_IMG-20260128-WA0025.jpg,Orange,Rotten,20-35,512,512,3,JPEG,56.21,e0875a82ac2240cb62c2605b1d5ee15d,False,
aug_294_IMG_20260114_004852,aug_294_IMG_20260114_004852.jpg,/content/dataset_raw/Processed Data/Fresh Papaya(1-4)/aug_294_IMG_20260114_004852.jpg,Papaya,Fresh,1-4,512,512,3,JPEG,16.43,06de89ea731b5157224a69f2709cca0e,False,
aug_200_IMG-20251227-WA0006,aug_200_IMG-20251227-WA0006.jpg,/content/dataset_raw/Processed Data/Rotten Orange(20-35)/aug_200_IMG-20251227-WA0006.jpg,Orange,Rotten,20-35,512,512,3,JPEG,26.15,e40eba6ca11ecbe3efb433f8d9f5c8b5,False,
aug_30_IMG_20260116_030604,aug_30_IMG_20260116_030604.jpg,/content/dataset_raw/Processed Data/Fresh Papaya(1-4)/aug_30_IMG_20260116_030604.jpg,Papaya,Fresh,1-4,512,512,3,JPEG,20.13,3d8cdd4d663b05cd281dafac0053e5da,False,
IMG_20251124_021253,IMG_20251124_021253.jpg,/content/dataset_raw/Processed Data/Rotten Bittermelon(5-8)/IMG_20251124_021253.jpg,Bittermelon,Rotten,5-8,512,512,3,JPEG,17.53,9d94d32443178b7c45cde93734937964,False,
IMG_20251125_211449942_HDR,IMG_20251125_211449942_HDR.jpg,/content/dataset_raw/Processed Data/Rotten eggplant(8-15)/IMG_20251125_211449942_HDR.jpg,Eggplant,Rotten,8-15,512,512,3,JPEG,18.41,e0ad904383eece70c462dd465c68e0f8,False,
IMG_20251202_021820,IMG_20251202_021820.jpg,/content/dataset_raw/Processed Data/Rotten Papaya(7-12)/IMG_20251202_021820.jpg,Papaya,Rotten,7-12,512,512,3,JPEG,25.87,3df008621efa1cdcf9fa9b8a6b3e0080,False,
aug_328_IMG_20260122_003312,aug_328_IMG_20260122_003312.jpg,/content/dataset_raw/Processed Data/Semi Fresh Bittermelon ( 3-5)/aug_328_IMG_20260122_003312.jpg,Bittermelon,Semi-Fresh,3-5,512,512,3,JPEG,19.67,125748a6d3639447bb49f087aab377dc,False,
aug_323_IMG_20251107_113951501_HDR_AE,aug_323_IMG_20251107_113951501_HDR_AE.jpg,/content/dataset_raw/Processed Data/Fresh Orange(1-9)/aug_323_IMG_20251107_113951501_HDR_AE.jpg,Orange,Fresh,1-9,512,512,3,JPEG,22.73,ba18b1ae7ce76cb183f4910178460a6a,False,
aug_379_IMG_20251124_021829,aug_379_IMG_20251124_021829.jpg,/content/dataset_raw/Processed Data/Rotten Cucumber(12-20)/aug_379_IMG_20251124_021829.jpg,Cucumber,Rotten,12-20,512,512,3,JPEG,13.11,0ad89e0b7098d2381807411d3f68cd31,False,
IMG_20251117_140758014_HDR_AE,IMG_20251117_140758014_HDR_AE.jpg,/content/dataset_raw/Processed Data/Semi fresh Orange(9-20)/IMG_20251117_140758014_HDR_AE.jpg,Orange,Semi-Fresh,9-20,512,512,3,JPEG,26.2,6aab7f5675e9d7bb8778012df6573544,False,
IMG_20251126_193241454_HDR,IMG_20251126_193241454_HDR.jpg,/content/dataset_raw/Processed Data/Semi_Fresh eggplant(4-8)/IMG_20251126_193241454_HDR.jpg,Eggplant,Semi-Fresh,4-8,512,512,3,JPEG,20.99,bf41859e546f4e0a9e077fa3f3c27f87,False,
aug_294_IMG_20260214_025258,aug_294_IMG_20260214_025258.jpg,/content/dataset_raw/Processed Data/Semi Fresh Papaya(4-7)/aug_294_IMG_20260214_025258.jpg,Papaya,Semi-Fresh,4-7,512,512,3,JPEG,16.63,b580ef929e6066089f37db20250cf102,False,
aug_432_IMG_20251122_211157374_HDR,aug_432_IMG_20251122_211157374_HDR.jpg,/content/dataset_raw/Processed Data/Semi fresh Pineapple (15-25)/aug_432_IMG_20251122_211157374_HDR.jpg,Pineapple,Semi-Fresh,15-25,512,512,3,JPEG,36.6,11592ce440f80b3e80055003a27491d9,False,
IMG_20260212_155621,IMG_20260212_155621.jpg,/content/dataset_raw/Processed Data/Semi Fresh Cucumber(6-12)/IMG_20260212_155621.jpg,Cucumber,Semi-Fresh,6-12,512,512,3,JPEG,18.5,66e20529673f1e20fa84702e79de9402,False,
aug_311_IMG_20260204_152046,aug_311_IMG_20260204_152046.jpg,/content/dataset_raw/Processed Data/Fresh Cucumber(1-6)/aug_311_IMG_20260204_152046.jpg,Cucumber,Fresh,1-6,512,512,3,JPEG,16.74,6401c16b5fede0c30702f8937d6f26e2,False,
aug_413_IMG-20251207-WA0015,aug_413_IMG-20251207-WA0015.jpg,/content/dataset_raw/Processed Data/Semi fresh Pineapple (15-25)/aug_413_IMG-20251207-WA0015.jpg,Pineapple,Semi-Fresh,15-25,512,512,3,JPEG,44.77,f87d8b7c2b62633b62bbc36391cddb7d,False,
aug_72_IMG_20260124_112819344_HDR_AE,aug_72_IMG_20260124_112819344_HDR_AE.jpg,/content/dataset_raw/Processed Data/Rotten Tomato(24-35)/aug_72_IMG_20260124_112819344_HDR_AE.jpg,Tomato,Rotten,24-35,512,512,3,JPEG,28.53,c65739518bed2f9ef680a3440b7b19ad,False,
aug_280_IMG-20251207-WA0031,aug_280_IMG-20251207-WA0031.jpg,/content/dataset_raw/Processed Data/Semi fresh Pineapple (15-25)/aug_280_IMG-20251207-WA0031.jpg,Pineapple,Semi-Fresh,15-25,512,512,3,JPEG,48.65,cbdf855fbf91e97f7093b69009182a77,False,
aug_463_IMG-20251205-WA0037,aug_463_IMG-20251205-WA0037.jpg,/content/dataset_raw/Processed Data/Semi fresh Pineapple (15-25)/aug_463_IMG-20251205-WA0037.jpg,Pineapple,Semi-Fresh,15-25,512,512,3,JPEG,37.62,67bff1e1a68dae9b476a51a7bf1b16a1,False,
IMG_20251201_184647542_HDR,IMG_20251201_184647542_HDR.jpg,/content/dataset_raw/Processed Data/Fresh Tomato(1-10)/IMG_20251201_184647542_HDR.jpg,Tomato,Fresh,1-10,512,512,3,JPEG,12.12,d58f04b42daa6fb955129b175e0f82cf,False,
